date,avgtemp,evaporation,H,Q,rainfall
27/3/2008,20.4,1.7,584.0,1360.0,0.8
28/3/2008,21.8,1.2,599.0,1230.0,0.2
29/3/2008,24.6,1.3,626.0,1120.0,0.5
30/3/2008,25.5,1.8,595.0,1100.0,0.0
31/3/2008,22.3,0.6,574.0,919.0,4.0
1/4/2008,20.0,0.8,543.0,1090.0,1.4
2/4/2008,18.4,0.6,513.0,1170.0,5.3
3/4/2008,18.5,0.6,483.0,1210.0,0.2
4/4/2008,20.8,0.6,453.0,1420.0,0.8
5/4/2008,22.5,0.6,471.0,1570.0,2.4
6/4/2008,25.4,1.4,487.0,1550.0,0.0
7/4/2008,26.3,2.2,494.0,1300.0,0.0
8/4/2008,26.6,1.6,498.0,1430.0,0.0
9/4/2008,26.8,2.3,512.0,1570.0,0.0
10/4/2008,26.1,1.1,526.0,1570.0,0.0
11/4/2008,26.0,0.8,509.0,1550.0,0.0
12/4/2008,26.2,0.8,500.0,1390.0,0.4
13/4/2008,24.8,1.3,492.0,1250.0,1.9
14/4/2008,25.6,2.8,466.0,1020.0,5.2
15/4/2008,25.3,2.1,449.0,1430.0,23.7
16/4/2008,26.0,2.1,447.0,1480.0,0.0
17/4/2008,26.1,2.6,483.0,1440.0,0.0
18/4/2008,26.4,2.9,471.0,1430.0,0.0
19/4/2008,27.1,3.4,472.0,1520.0,0.0
20/4/2008,27.7,1.9,493.0,1460.0,0.0
21/4/2008,28.2,2.7,494.0,1240.0,0.0
22/4/2008,26.6,1.8,512.0,1480.0,2.9
23/4/2008,21.8,1.1,504.0,1530.0,1.9
24/4/2008,21.5,1.6,496.0,1430.0,0.2
25/4/2008,22.3,2.3,488.0,1550.0,0.0
26/4/2008,22.8,2.2,472.0,1720.0,0.0
27/4/2008,23.7,2.5,477.0,1780.0,0.0
28/4/2008,24.1,3.0,512.0,1350.0,0.0
29/4/2008,25.2,2.7,518.0,1600.0,0.0
30/4/2008,25.9,1.9,546.0,1680.0,0.0
1/5/2008,26.3,1.8,543.0,1390.0,1.3
2/5/2008,28.2,2.7,497.0,1140.0,0.0
3/5/2008,27.9,2.5,474.0,1330.0,0.6
4/5/2008,28.1,2.4,471.0,1500.0,5.4
5/5/2008,23.0,2.2,464.0,1710.0,35.9
6/5/2008,24.4,1.4,491.0,2870.0,2.8
7/5/2008,26.8,2.1,491.0,3270.0,1.0
8/5/2008,27.6,2.4,461.0,3600.0,0.3
9/5/2008,27.3,2.3,433.0,3650.0,9.8
10/5/2008,24.5,1.9,471.0,3540.0,19.8
11/5/2008,24.1,3.1,542.0,3540.0,0.0
12/5/2008,25.6,3.9,555.0,3330.0,0.0
13/5/2008,26.5,3.3,545.0,3300.0,0.0
14/5/2008,26.5,5.3,533.0,3230.0,0.0
15/5/2008,26.2,3.8,515.0,2820.0,0.0
16/5/2008,26.8,3.4,492.0,2570.0,0.0
17/5/2008,26.9,3.2,516.0,2450.0,0.0
18/5/2008,27.2,2.1,510.0,2390.0,38.6
19/5/2008,22.8,0.9,471.0,2340.0,28.7
20/5/2008,25.3,2.7,441.0,2830.0,0.3
21/5/2008,26.3,2.6,418.0,3320.0,0.0
22/5/2008,26.6,2.0,446.0,3440.0,0.0
23/5/2008,27.6,2.4,529.0,3090.0,10.5
24/5/2008,28.7,2.4,505.0,2700.0,3.5
25/5/2008,28.9,3.4,490.0,2370.0,3.4
26/5/2008,29.4,2.5,428.0,1980.0,1.4
27/5/2008,31.2,3.8,438.0,2400.0,0.0
28/5/2008,31.4,5.2,428.0,2610.0,0.0
29/5/2008,31.2,3.5,427.0,2710.0,0.0
30/5/2008,27.9,3.4,454.0,2850.0,48.4
31/5/2008,25.9,1.8,460.0,2830.0,6.2
1/6/2008,26.7,2.4,460.0,2510.0,0.2
2/6/2008,27.1,1.6,490.0,2190.0,0.0
3/6/2008,27.8,3.6,526.0,2530.0,0.0
4/6/2008,27.8,2.0,610.0,3370.0,0.0
5/6/2008,27.2,2.0,617.0,3390.0,21.3
6/6/2008,27.0,1.9,592.0,3110.0,0.0
7/6/2008,28.1,2.6,630.0,2970.0,13.6
8/6/2008,28.5,2.3,687.0,2970.0,0.2
9/6/2008,28.9,3.8,659.0,2890.0,0.0
10/6/2008,27.8,2.4,618.0,3480.0,0.3
11/6/2008,28.3,2.3,627.0,3570.0,0.3
12/6/2008,28.0,2.5,642.0,3600.0,0.0
13/6/2008,28.0,2.3,616.0,3840.0,12.4
14/6/2008,27.5,2.1,636.0,4200.0,16.9
15/6/2008,29.0,2.2,659.0,4720.0,25.9
16/6/2008,28.1,1.7,709.0,4550.0,0.0
17/6/2008,28.0,1.3,809.0,4390.0,0.0
18/6/2008,26.6,1.0,925.0,4590.0,12.5
19/6/2008,26.5,1.2,953.0,5680.0,0.4
20/6/2008,27.9,2.6,932.0,6630.0,12.3
21/6/2008,28.9,2.5,900.0,6750.0,3.2
22/6/2008,30.8,3.1,843.0,6620.0,4.4
23/6/2008,31.7,3.8,813.0,6020.0,0.0
24/6/2008,28.8,3.6,819.0,5380.0,0.3
25/6/2008,30.7,4.2,816.0,5200.0,0.0
26/6/2008,31.5,4.3,804.0,5000.0,0.0
27/6/2008,27.9,2.0,797.0,4820.0,11.3
28/6/2008,25.5,1.1,799.0,5350.0,95.7
29/6/2008,27.9,3.0,800.0,6260.0,0.0
30/6/2008,29.9,2.6,832.0,6190.0,0.0
1/7/2008,28.9,2.6,849.0,5900.0,0.0
2/7/2008,29.0,2.6,832.0,6080.0,0.0
3/7/2008,28.9,2.4,830.0,6440.0,33.6
4/7/2008,30.0,3.0,864.0,6250.0,0.0
5/7/2008,29.7,2.1,882.0,7180.0,0.0
6/7/2008,26.2,1.0,917.0,8080.0,23.0
7/7/2008,28.6,2.0,931.0,9340.0,0.0
8/7/2008,27.3,1.9,922.0,10200.0,15.5
9/7/2008,29.2,2.2,920.0,9890.0,0.0
10/7/2008,29.0,2.6,931.0,8640.0,0.4
11/7/2008,29.9,2.7,930.0,7660.0,1.3
12/7/2008,27.2,1.8,942.0,7390.0,15.1
13/7/2008,28.4,2.2,1014.0,7370.0,0.0
14/7/2008,28.9,3.0,1060.0,7350.0,3.6
15/7/2008,29.0,2.3,1067.0,7370.0,0.0
16/7/2008,26.3,0.8,1052.0,7440.0,25.9
17/7/2008,26.1,0.8,1040.0,7920.0,36.1
18/7/2008,26.8,1.9,995.0,9110.0,21.7
19/7/2008,27.9,2.3,960.0,9960.0,0.1
20/7/2008,28.9,2.4,946.0,10100.0,11.6
21/7/2008,31.0,4.8,953.0,10100.0,0.1
22/7/2008,31.8,5.6,988.0,10000.0,0.0
23/7/2008,29.9,3.0,1007.0,9230.0,0.0
24/7/2008,27.3,0.9,1007.0,8540.0,3.2
25/7/2008,26.8,0.6,999.0,9460.0,5.8
26/7/2008,28.8,1.8,1011.0,11500.0,0.0
27/7/2008,30.1,2.8,985.0,12200.0,0.0
28/7/2008,30.0,2.8,918.0,11200.0,0.1
29/7/2008,29.7,3.6,848.0,9860.0,5.0
30/7/2008,30.5,3.5,814.0,9320.0,0.0
31/7/2008,29.8,1.6,794.0,9050.0,0.0
1/8/2008,27.7,1.2,781.0,7990.0,7.4
2/8/2008,27.1,0.8,910.0,7230.0,51.5
3/8/2008,29.2,1.8,948.0,6820.0,0.0
4/8/2008,29.7,1.9,911.0,6600.0,0.0
5/8/2008,29.6,2.8,914.0,6870.0,0.0
6/8/2008,30.6,3.6,904.0,7120.0,0.0
7/8/2008,27.5,1.8,868.0,7910.0,33.1
8/8/2008,26.6,1.2,905.0,8720.0,71.9
9/8/2008,27.3,1.1,990.0,11400.0,13.9
10/8/2008,26.1,0.6,1066.0,13700.0,22.5
11/8/2008,28.7,2.5,1126.0,14400.0,0.0
12/8/2008,28.4,2.0,1169.0,13800.0,0.0
13/8/2008,28.7,2.4,1210.0,12900.0,0.0
14/8/2008,29.5,2.6,1216.0,11800.0,0.0
15/8/2008,30.2,2.7,1135.0,11400.0,0.0
16/8/2008,31.2,2.8,1048.0,11000.0,0.0
17/8/2008,30.2,1.9,987.0,9690.0,0.0
18/8/2008,26.9,0.9,953.0,8080.0,0.4
19/8/2008,28.4,2.0,950.0,6900.0,0.0
20/8/2008,29.0,2.2,926.0,6180.0,30.6
21/8/2008,29.5,2.5,913.0,5820.0,0.1
22/8/2008,30.8,3.0,909.0,5550.0,0.0
23/8/2008,29.9,1.5,964.0,5400.0,0.0
24/8/2008,25.9,0.9,976.0,5210.0,2.4
25/8/2008,28.5,1.7,986.0,4990.0,2.5
26/8/2008,28.3,1.9,1082.0,5010.0,0.0
27/8/2008,28.5,2.4,1108.0,5580.0,0.0
28/8/2008,29.3,3.2,1084.0,6250.0,0.0
29/8/2008,30.0,2.4,1095.0,6800.0,0.0
30/8/2008,30.2,2.2,1132.0,7090.0,0.0
31/8/2008,26.4,1.2,1172.0,6620.0,23.1
1/9/2008,27.6,1.6,1185.0,7260.0,0.0
2/9/2008,28.5,2.3,1137.0,7410.0,0.0
3/9/2008,28.7,1.5,1051.0,6620.0,0.0
4/9/2008,25.5,0.9,953.0,6690.0,7.1
5/9/2008,26.7,1.5,887.0,7290.0,7.4
6/9/2008,25.6,0.6,861.0,7580.0,1.8
7/9/2008,26.9,1.4,845.0,7380.0,0.5
8/9/2008,27.8,2.6,831.0,6810.0,0.0
9/9/2008,27.6,2.0,811.0,6620.0,22.1
10/9/2008,26.2,1.8,803.0,7000.0,15.5
11/9/2008,27.9,3.1,798.0,6960.0,2.0
12/9/2008,27.1,2.7,778.0,6850.0,61.3
13/9/2008,27.6,1.7,777.0,5910.0,4.4
14/9/2008,27.9,3.1,771.0,5360.0,1.2
15/9/2008,29.0,3.0,778.0,5060.0,0.0
16/9/2008,29.3,2.9,793.0,4780.0,1.2
17/9/2008,29.6,2.8,791.0,4720.0,0.0
18/9/2008,29.7,2.8,771.0,4600.0,0.0
19/9/2008,29.0,2.7,916.0,4470.0,0.0
20/9/2008,28.7,2.3,1086.0,4390.0,4.5
21/9/2008,28.0,2.6,992.0,4300.0,0.0
22/9/2008,29.1,3.4,901.0,3980.0,0.0
23/9/2008,30.3,4.5,848.0,4110.0,0.0
24/9/2008,30.0,4.2,819.0,4260.0,0.5
25/9/2008,26.0,0.6,796.0,4410.0,21.2
26/9/2008,27.2,1.1,799.0,6020.0,11.7
27/9/2008,25.9,0.6,796.0,8570.0,48.6
28/9/2008,27.0,1.6,1026.0,9900.0,1.1
29/9/2008,28.0,3.1,1142.0,9010.0,0.0
30/9/2008,24.7,1.7,1036.0,7430.0,5.6
1/10/2008,24.7,2.3,954.0,6310.0,2.4
2/10/2008,27.4,3.3,924.0,5780.0,0.0
3/10/2008,28.1,2.3,883.0,5460.0,0.0
4/10/2008,28.5,2.5,849.0,5160.0,0.0
5/10/2008,24.5,1.8,828.0,5160.0,38.3
6/10/2008,26.5,3.6,826.0,5830.0,0.0
7/10/2008,25.9,2.6,815.0,6200.0,0.0
8/10/2008,26.4,2.3,801.0,5560.0,0.0
9/10/2008,26.9,2.4,792.0,5070.0,0.0
10/10/2008,27.2,2.5,761.0,4860.0,0.0
11/10/2008,26.4,2.9,722.0,4710.0,2.1
12/10/2008,27.1,2.6,687.0,4580.0,0.0
13/10/2008,26.4,3.8,693.0,3950.0,0.0
14/10/2008,23.8,2.0,676.0,3700.0,1.8
15/10/2008,23.5,1.1,675.0,3550.0,5.0
16/10/2008,26.6,3.1,659.0,3590.0,0.0
17/10/2008,27.3,3.0,618.0,3590.0,0.0
18/10/2008,27.4,3.2,596.0,3510.0,0.0
19/10/2008,26.7,2.0,620.0,3260.0,0.0
20/10/2008,26.2,1.4,636.0,3000.0,7.6
21/10/2008,25.8,1.2,624.0,2990.0,8.4
22/10/2008,27.5,2.8,610.0,2960.0,0.0
23/10/2008,26.7,3.1,620.0,3100.0,20.8
24/10/2008,24.8,1.7,590.0,3540.0,4.4
25/10/2008,25.3,2.3,599.0,4730.0,0.0
26/10/2008,24.7,1.0,592.0,4600.0,48.0
27/10/2008,25.6,1.3,597.0,4220.0,30.0
28/10/2008,25.7,3.0,594.0,4430.0,0.0
29/10/2008,25.4,1.2,602.0,4700.0,6.5
30/10/2008,24.8,1.2,613.0,4760.0,9.9
31/10/2008,24.0,0.5,652.0,5260.0,215.0
1/11/2008,24.2,0.3,772.0,7620.0,90.0
2/11/2008,23.9,0.3,751.0,7600.0,85.3
3/11/2008,21.1,0.5,727.0,8280.0,16.4
4/11/2008,21.6,1.0,720.0,12500.0,5.7
5/11/2008,23.8,1.1,709.0,13900.0,0.0
6/11/2008,25.8,1.2,683.0,11800.0,0.0
7/11/2008,23.6,1.1,647.0,9990.0,27.6
8/11/2008,23.0,2.8,620.0,10100.0,1.2
9/11/2008,21.3,3.2,583.0,9340.0,0.0
10/11/2008,20.1,3.4,605.0,8020.0,0.0
11/11/2008,19.4,2.4,666.0,7190.0,0.0
12/11/2008,19.0,2.3,710.0,6640.0,0.0
13/11/2008,19.5,1.8,720.0,6090.0,0.0
14/11/2008,19.7,2.2,682.0,5670.0,0.0
15/11/2008,21.4,2.6,676.0,5280.0,0.0
16/11/2008,22.9,1.6,659.0,5160.0,0.0
17/11/2008,24.3,1.3,627.0,5080.0,0.0
18/11/2008,22.5,1.6,595.0,4850.0,0.0
19/11/2008,18.5,1.9,566.0,4430.0,0.0
20/11/2008,18.3,2.5,569.0,3990.0,0.0
21/11/2008,18.8,1.7,555.0,3940.0,0.0
22/11/2008,20.9,1.8,554.0,3820.0,0.0
23/11/2008,21.8,1.7,564.0,3570.0,0.0
24/11/2008,20.6,2.9,567.0,3600.0,0.0
25/11/2008,20.6,2.2,557.0,3740.0,0.0
26/11/2008,21.1,2.4,538.0,3570.0,0.0
27/11/2008,21.4,3.2,526.0,3050.0,0.0
28/11/2008,17.5,2.6,515.0,2770.0,0.0
29/11/2008,16.8,2.8,524.0,2700.0,0.0
30/11/2008,16.9,2.9,522.0,2750.0,0.0
1/12/2008,16.3,3.2,523.0,2790.0,0.0
2/12/2008,16.9,2.6,516.0,2830.0,0.0
3/12/2008,17.6,1.3,513.0,2910.0,0.0
4/12/2008,20.1,3.0,512.0,2950.0,0.0
5/12/2008,20.1,3.2,482.0,2870.0,0.0
6/12/2008,17.3,2.9,492.0,2780.0,0.0
7/12/2008,17.5,2.3,477.0,2740.0,0.0
8/12/2008,17.9,3.3,472.0,2350.0,0.0
9/12/2008,16.1,2.6,472.0,2320.0,0.0
10/12/2008,17.6,1.3,482.0,2390.0,0.0
11/12/2008,20.2,2.4,519.0,2470.0,0.0
12/12/2008,19.0,1.5,498.0,2370.0,0.0
13/12/2008,19.6,1.7,491.0,2230.0,0.0
14/12/2008,19.9,1.9,480.0,2140.0,0.0
15/12/2008,18.5,2.1,471.0,1990.0,0.0
16/12/2008,17.4,1.6,470.0,1930.0,0.0
17/12/2008,17.7,1.4,471.0,1920.0,0.0
18/12/2008,18.2,1.6,469.0,1840.0,0.0
19/12/2008,17.9,2.1,450.0,1870.0,0.0
20/12/2008,18.0,2.0,454.0,1830.0,0.0
21/12/2008,19.6,1.3,455.0,1710.0,0.0
22/12/2008,18.7,1.0,460.0,1520.0,2.8
23/12/2008,13.7,1.8,458.0,1600.0,0.0
24/12/2008,12.9,1.5,455.0,1700.0,0.0
25/12/2008,15.1,1.0,462.0,1910.0,0.1
26/12/2008,17.0,1.6,449.0,1820.0,0.0
27/12/2008,16.1,0.6,466.0,1780.0,5.9
28/12/2008,17.9,0.4,499.0,1830.0,0.1
29/12/2008,19.7,0.9,528.0,1790.0,1.9
30/12/2008,18.3,1.6,528.0,1800.0,0.0
31/12/2008,16.7,2.2,511.0,1770.0,0.0
1/1/2009,16.0,2.6,480.0,1810.0,0.0
2/1/2009,16.1,2.4,467.0,1710.0,0.0
3/1/2009,15.3,1.8,474.0,1760.0,0.0
4/1/2009,15.7,1.8,474.0,1760.0,0.0
5/1/2009,18.5,1.5,467.0,1710.0,0.0
6/1/2009,19.7,1.6,466.0,1700.0,0.0
7/1/2009,17.4,1.8,486.0,1860.0,0.0
8/1/2009,14.1,1.9,499.0,1970.0,0.0
9/1/2009,15.0,2.9,498.0,1960.0,0.6
10/1/2009,13.7,3.5,472.0,1750.0,0.0
11/1/2009,12.8,3.0,453.0,1590.0,0.0
12/1/2009,13.9,2.7,443.0,1520.0,0.0
13/1/2009,13.8,3.4,456.0,1620.0,0.0
14/1/2009,13.3,2.5,463.0,1670.0,0.0
15/1/2009,13.4,2.6,455.0,1610.0,0.0
16/1/2009,13.8,3.0,461.0,1660.0,0.0
17/1/2009,15.4,2.5,473.0,1750.0,0.0
18/1/2009,16.3,0.8,484.0,1840.0,0.0
19/1/2009,19.5,1.6,530.0,2240.0,0.0
20/1/2009,19.8,2.5,555.0,2460.0,0.0
21/1/2009,20.2,2.2,546.0,2380.0,0.0
22/1/2009,18.7,2.9,527.0,2210.0,0.0
23/1/2009,17.4,1.4,545.0,2370.0,7.1
24/1/2009,12.8,1.3,543.0,2350.0,0.0
25/1/2009,11.1,1.9,519.0,2140.0,0.0
26/1/2009,10.8,0.6,493.0,1920.0,4.7
27/1/2009,13.0,1.0,489.0,1880.0,0.0
28/1/2009,13.9,1.2,470.0,1730.0,0.0
29/1/2009,14.5,0.6,463.0,1670.0,4.7
30/1/2009,15.8,1.8,433.0,1440.0,0.0
31/1/2009,17.2,2.0,387.0,1110.0,0.0
1/2/2009,17.5,1.8,377.0,1040.0,0.0
2/2/2009,17.0,0.6,476.0,1780.0,0.7
3/2/2009,19.1,1.0,538.0,2310.0,0.0
4/2/2009,20.6,1.3,552.0,2430.0,1.1
5/2/2009,20.3,1.6,570.0,2600.0,0.0
6/2/2009,20.9,2.7,584.0,2720.0,0.0
7/2/2009,20.3,2.3,555.0,2460.0,0.0
8/2/2009,19.6,1.4,536.0,2290.0,0.0
9/2/2009,20.4,1.7,547.0,2390.0,0.0
10/2/2009,21.4,2.1,579.0,2680.0,0.0
11/2/2009,21.8,2.5,578.0,2670.0,0.0
12/2/2009,22.0,2.0,508.0,2040.0,0.0
13/2/2009,25.2,2.4,446.0,1540.0,0.0
14/2/2009,24.1,2.6,432.0,1440.0,0.0
15/2/2009,24.2,2.5,421.0,1350.0,0.0
16/2/2009,25.2,3.1,396.0,1170.0,0.0
17/2/2009,24.8,2.2,422.0,1360.0,0.0
18/2/2009,24.0,2.6,447.0,1550.0,0.0
19/2/2009,24.7,2.7,507.0,2030.0,0.0
20/2/2009,22.6,1.6,549.0,2410.0,0.0
21/2/2009,19.1,1.3,518.0,2130.0,0.0
22/2/2009,21.2,0.7,499.0,1970.0,0.4
23/2/2009,23.4,0.8,455.0,1610.0,1.1
24/2/2009,24.4,0.9,440.0,1500.0,0.0
25/2/2009,24.8,1.1,433.0,1440.0,0.0
26/2/2009,24.1,0.9,433.0,1440.0,0.1
27/2/2009,24.6,1.7,436.0,1470.0,0.0
28/2/2009,22.7,1.0,446.0,1540.0,0.0
1/3/2009,16.5,1.0,435.0,1460.0,1.0
2/3/2009,15.6,0.4,412.0,1290.0,0.4
3/3/2009,15.6,0.4,415.0,1310.0,0.2
4/3/2009,16.9,0.2,418.0,1330.0,2.9
5/3/2009,18.7,0.5,414.0,1300.0,1.1
6/3/2009,17.4,1.6,413.0,1290.0,0.2
7/3/2009,17.0,2.5,397.0,1180.0,0.0
8/3/2009,16.4,1.3,379.0,1050.0,0.4
9/3/2009,18.7,2.0,357.0,899.0,2.1
10/3/2009,18.9,2.6,389.0,1120.0,0.0
11/3/2009,21.0,1.0,423.0,1370.0,0.0
12/3/2009,22.3,0.6,424.0,1380.0,0.5
13/3/2009,21.8,0.7,424.0,1380.0,5.3
14/3/2009,16.7,2.2,422.0,1360.0,0.1
15/3/2009,16.7,2.7,381.0,1070.0,0.0
16/3/2009,18.4,1.4,355.0,885.0,0.0
17/3/2009,20.8,1.1,379.0,1050.0,0.0
18/3/2009,22.1,0.9,403.0,1220.0,0.1
19/3/2009,23.9,0.7,430.0,1420.0,0.0
20/3/2009,24.1,0.6,436.0,1470.0,1.6
21/3/2009,25.5,1.7,453.0,1590.0,0.0
22/3/2009,26.3,3.0,453.0,1590.0,0.0
23/3/2009,26.5,2.2,419.0,1340.0,0.3
24/3/2009,24.3,0.4,438.0,1480.0,0.3
25/3/2009,21.8,1.0,452.0,1590.0,0.3
26/3/2009,21.0,0.6,447.0,1550.0,0.9
27/3/2009,23.5,2.8,457.0,1630.0,33.3
28/3/2009,25.1,2.1,456.0,1620.0,1.0
29/3/2009,25.1,2.5,447.0,1550.0,0.0
30/3/2009,22.0,2.2,419.0,1340.0,0.0
31/3/2009,19.2,1.6,428.0,1410.0,0.0
1/4/2009,19.0,1.5,417.0,1320.0,0.3
2/4/2009,17.3,0.5,418.0,1330.0,22.3
3/4/2009,20.6,1.0,435.0,1460.0,0.5
4/4/2009,23.0,1.0,444.0,1530.0,0.0
5/4/2009,21.7,0.6,436.0,1470.0,15.4
6/4/2009,20.5,2.1,440.0,1500.0,0.1
7/4/2009,21.0,1.6,471.0,1740.0,4.1
8/4/2009,21.9,1.1,481.0,1820.0,0.0
9/4/2009,23.3,2.1,466.0,1700.0,0.0
10/4/2009,24.4,2.2,474.0,1760.0,0.0
11/4/2009,23.9,1.0,473.0,1750.0,7.3
12/4/2009,25.5,1.9,465.0,1690.0,0.4
13/4/2009,26.4,1.5,446.0,1540.0,0.0
14/4/2009,25.8,1.3,500.0,1980.0,13.9
15/4/2009,25.7,1.7,523.0,2170.0,0.1
16/4/2009,26.7,1.2,508.0,2040.0,0.0
17/4/2009,25.9,1.6,500.0,1980.0,0.0
18/4/2009,26.6,1.4,493.0,1920.0,0.0
19/4/2009,29.5,2.0,490.0,1890.0,0.0
20/4/2009,28.0,2.7,486.0,1860.0,4.8
21/4/2009,26.8,2.3,493.0,1920.0,0.0
22/4/2009,26.6,2.7,497.0,1950.0,0.0
23/4/2009,27.4,2.0,488.0,1870.0,0.0
24/4/2009,28.9,1.6,476.0,1780.0,0.0
25/4/2009,24.8,2.3,480.0,1810.0,12.1
26/4/2009,24.6,2.0,468.0,1710.0,0.0
27/4/2009,23.9,2.9,435.0,1460.0,0.0
28/4/2009,23.3,0.5,431.0,1430.0,2.5
29/4/2009,22.9,0.2,448.0,1560.0,6.2
30/4/2009,23.6,0.4,453.0,1590.0,5.7
1/5/2009,24.3,1.4,451.0,1580.0,0.0
2/5/2009,24.9,1.8,465.0,1690.0,0.0
3/5/2009,26.1,2.6,452.0,1590.0,0.0
4/5/2009,25.8,2.0,444.0,1530.0,0.0
5/5/2009,25.6,2.4,509.0,2050.0,0.0
6/5/2009,25.0,1.4,575.0,2640.0,0.0
7/5/2009,25.7,1.5,624.0,3120.0,7.8
8/5/2009,24.8,1.0,649.0,3370.0,31.1
9/5/2009,24.5,0.3,680.0,3710.0,15.8
10/5/2009,26.3,1.2,729.0,4280.0,0.2
11/5/2009,26.5,1.5,672.0,3610.0,38.5
